g,d,nll,onehot
0.75325,0.19911
0.77449,0.19544
0.86864,0.21404
0.90370,0.18353
0.98528,0.19613
0.78490,0.23960
0.93140,0.23818
0.80682,0.23724
0.79991,0.20264
0.68656,0.20932
1.08527,0.20899
0.80138,0.23027
1.09443,0.24321
0.87844,0.20623
0.71697,0.22486
1.04132,0.22842
0.65017,0.23931
0.98481,0.21389
1.12314,0.25898
0.94993,0.29385
0.74148,0.22046
0.85941,0.20631
0.72804,0.18286
0.94030,0.21147
0.84882,0.26547
1.01462,0.22708
0.98273,0.24747
0.94689,0.23283
0.76603,0.22450
0.94590,0.21707
0.95812,0.22021
0.86128,0.24803
0.77022,0.21732
0.81117,0.23168
1.14271,0.18996
0.87066,0.24587
0.88197,0.23357
0.79159,0.21392
0.74557,0.20016
0.87893,0.22064
1.01416,0.20737
0.82497,0.19831
0.77604,0.21571
0.77694,0.22211
0.92442,0.21072
1.06902,0.25114
0.98494,0.22308
0.80209,0.24582
0.71173,0.15930
0.81611,0.25078
0.85678,0.23137
0.86942,0.24971
0.92669,0.21192
0.68884,0.23885
0.67278,0.24516
1.10476,0.23499
0.87187,0.21259
0.81102,0.20897
1.03389,0.23180
0.72676,0.23031
0.91090,0.25044
0.88170,0.23502
0.71338,0.20507
0.81391,0.25452
0.75233,0.20148
0.84363,0.23471
0.81862,0.24075
0.95185,0.23297
1.01801,0.20230
0.70564,0.21478
0.87987,0.21706
0.76726,0.21676
0.91870,0.22357
0.90192,0.25527
0.83078,0.19330
0.77393,0.21496
0.69838,0.24861
0.70749,0.21357
0.95189,0.20777
0.72990,0.22003
